STAT_ID,STAT_NTN,STAT_POP,STAT_CPT,STAT_LAN,EXP_2019,EXP_2020,EXP_2021,EXP_2022,EXP_2023,IMP_2019,IMP_2020,IMP_2021,IMP_2022,IMP_2023,BAL_2019,BAL_2020,BAL_2021,BAL_2022,BAL_2023,GWT_2019,GWT_2020,GWT_2021,GWT_2022,GWT_2023,GDP_2019,GDP_2020,GDP_2021,GDP_2022,GDP_2023
VN,베트남 사회주의 공화국(Socialist Republic of Vietnam),104799174 (자료원: CIA report / 2023년 추정치),하노이(H&agrave; Nội),베트남어,"48,178.00","48,511.00","56,729.00","60,964.00","43,939.00","21,072.00","20,579.00","23,966.00","26,725.00","21,836.00","27,106.00","27,932.00","32,763.00","34,239.00","22,103.00",7.02,2.91,2.58,8.02,,"3,439","3,549","3,753","4,087",
US,미합중국(The United States of America),"335779482 (자료원: 미 인구조사국, 2023년 11월 기준 추정치)","워싱턴 D.C.(Washington, District of Columbia)",영어,"73,344.00","74,116.00","95,902.00","109,766.00","93,483.00","61,879.00","57,492.00","73,213.00","81,785.00","58,757.00","11,465.00","16,624.00","22,689.00","27,981.00","34,726.00",2.3,-3.4,5.9,2.1,,"65,051.88","63,078.47","70,152","76,328",
CN,중화인민공화국(The People&rsquo;s Republic of China),"1411750000 (자료원: 중국 국가통계국, 2022년 말 기준)",베이징(北京; Beijing),한어(汉语; Chinese) ,"136,203.00","132,565.00","162,913.00","155,789.00","102,605.00","107,229.00","108,885.00","138,628.00","154,576.00","119,877.00","28,974.00","23,680.00","24,285.00","1,213.00","-17,272.00",5.95,2.24,8.45,2.99,,"10,170.1","10,525","12,572.1","12,813.8",
JP,일본(Japan),"124477000 (자료원: 총무성, 2023년 5월 확정치 )",도쿄(Tokyo),일본어,"28,420.00","25,098.00","30,062.00","30,606.00","23,994.00","47,581.00","46,023.00","54,642.00","54,712.00","40,015.00","-19,161.00","-20,925.00","-24,580.00","-24,106.00","-16,021.00",-0.4,-4.2,2.2,1.0,,"40,548","40,133","39,933","33,854",
DE,독일연방공화국(The Federal Republic of Germany),"84482267 (자료원: 독일 연방통계청, 2023. 6. 30. 기준)",베를린(Berlin),독일어,"8,686.00","9,576.00","11,110.00","10,068.00","8,693.00","19,937.00","20,681.00","21,996.00","23,615.00","19,695.00","-11,251.00","-11,105.00","-10,886.00","-13,547.00","-11,002.00",1.1,-4.6,2.8,2.1,2.7,"46,800.2","46,215.6","50,794.9","51,104","54,763.3"
GB,영국(The United Kingdom of Great Britain and Northern Ireland),67026300 (자료원: 영국 통계청(ONS) / 2022년 12월 21일(&#39;21년 census 통계치)),런던(London),"영어(공용어), 웨일스어, 스코티시 게일릭, 아이리시 게일릭","5,515.00","4,467.00","5,962.00","6,341.00","4,653.00","4,169.00","4,370.00","5,810.00","5,775.00","3,600.00","1,346.00",97.00,152.00,566.00,"1,053.00",1.4,-9.8,6.6,3.3,,"42,354","40,406","46,344","49,327",
AU,호주(Commonwealth of Australia),"26473055 (자료원: 호주통계청, 2023.3 기준)",캔버라(Canberra),영어,"7,891.00","6,189.00","9,750.00","18,753.00","14,990.00","20,608.00","18,707.00","32,918.00","44,929.00","27,282.00","-12,717.00","-12,518.00","-23,168.00","-26,176.00","-12,292.00",1.9,-2.4,4.7,3.7,1.9,"54,464","52,800","58,370","63,833","63,487"
CA,캐나다(Canada),"40509958 (자료원: 캐나다 통계청, 2023년 11월 기준)",오타와(Ottawa),"공용어(영어 58% 및 불어 21%), 기타(21%)","5,568.00","5,464.00","6,714.00","7,839.00","6,819.00","5,759.00","4,415.00","6,370.00","8,539.00","5,137.00",-191.00,"1,049.00",344.00,-700.00,"1,682.00",1.9,-5.3,4.6,3.5,,"46,327","43,258","43,100","50,879",
IN,인도(The Republic of India),"1428628000 (자료원: IMF, 2023.11.14 기준)",뉴델리(New Delhi),"힌디어, 칸나다어, 타밀어, 텔루구어 등 22개 공용어","15,096.00","11,937.00","15,603.00","18,870.00","14,840.00","5,565.00","4,901.00","8,056.00","8,897.00","5,589.00","9,531.00","7,036.00","7,547.00","9,973.00","9,251.00",3.8,-5.8,9.0,6.8,,"2,050.16","1,913.22","2,238.1","2,391.8",
IT,이탈리아 공화국(La Repubblica Italiana),"58870762 (자료원: 이탈리아 통계청(ISTAT), 2023.11. 기준)",로마(Roma),"이탈리아어(국경지역은 독일어, 프랑스어, 슬로베니아어 병용)","3,773.00","3,221.00","4,597.00","5,134.00","4,244.00","6,449.00","6,651.00","8,006.00","8,356.00","6,988.00","-2,676.00","-3,430.00","-3,409.00","-3,222.00","-2,744.00",0.48,-8.97,8.31,3.99,0.92,"33,628.16","31,789","36,401.88","35,043.09","38,325.84"
BR,브라질 연방 공화국(The Federal Republic of Brazil),"203080756 (자료원: 브라질 지리통계원(IBGE), 2023.10.27 기준)","브라질리아(Brasilia, 인구 3,094,325명)",포르투갈어,"4,809.00","3,944.00","4,666.00","4,976.00","1,463.00","4,296.00","4,237.00","6,622.00","7,930.00","2,437.00",513.00,-293.00,"-1,956.00","-2,954.00",-974.00,1.22,-3.3,5.0,2.9,,"8,914","6,970","7,750","9,000",
