STAT_ID,EXP_2019,EXP_2020,EXP_2021,EXP_2022,EXP_2023,IMP_2019,IMP_2020,IMP_2021,IMP_2022,IMP_2023,BAL_2019,BAL_2020,BAL_2021,BAL_2022,BAL_2023,GWT_2019,GWT_2020,GWT_2021,GWT_2022,GWT_2023,GDP_2019,GDP_2020,GDP_2021,GDP_2022,GDP_2023
VN,48178,48511,56729,60964,43939,21072,20579,23966,26725,21836,27106,27932,32763,34239,22103,7.02,2.91,2.58,8.02,,3439.0,3549.0,3753.0,4087.0,
US,73344,74116,95902,109766,93483,61879,57492,73213,81785,58757,11465,16624,22689,27981,34726,2.3,-3.4,5.9,2.1,,65051.88,63078.47,70152.0,76328.0,
CN,136203,132565,162913,155789,102605,107229,108885,138628,154576,119877,28974,23680,24285,1213,-17272,5.95,2.24,8.45,2.99,,10170.1,10525.0,12572.1,12813.8,
JP,28420,25098,30062,30606,23994,47581,46023,54642,54712,40015,-19161,-20925,-24580,-24106,-16021,-0.4,-4.2,2.2,1.0,,40548.0,40133.0,39933.0,33854.0,
DE,8686,9576,11110,10068,8693,19937,20681,21996,23615,19695,-11251,-11105,-10886,-13547,-11002,1.1,-4.6,2.8,2.1,2.7,46800.2,46215.6,50794.9,51104.0,54763.3
GB,5515,4467,5962,6341,4653,4169,4370,5810,5775,3600,1346,97,152,566,1053,1.4,-9.8,6.6,3.3,,42354.0,40406.0,46344.0,49327.0,
AU,7891,6189,9750,18753,14990,20608,18707,32918,44929,27282,-12717,-12518,-23168,-26176,-12292,1.9,-2.4,4.7,3.7,1.9,54464.0,52800.0,58370.0,63833.0,63487.0
CA,5568,5464,6714,7839,6819,5759,4415,6370,8539,5137,-191,1049,344,-700,1682,1.9,-5.3,4.6,3.5,,46327.0,43258.0,43100.0,50879.0,
IN,15096,11937,15603,18870,14840,5565,4901,8056,8897,5589,9531,7036,7547,9973,9251,3.8,-5.8,9.0,6.8,,2050.16,1913.22,2238.1,2391.8,
IT,3773,3221,4597,5134,4244,6449,6651,8006,8356,6988,-2676,-3430,-3409,-3222,-2744,0.48,-8.97,8.31,3.99,0.92,33628.16,31789.0,36401.88,35043.09,38325.84
BR,4809,3944,4666,4976,1463,4296,4237,6622,7930,2437,513,-293,-1956,-2954,-974,1.22,-3.3,5.0,2.9,,8914.0,6970.0,7750.0,9000.0,
